SEND_ID,NOTES
0190c36d-f14d-4292-f000-00001ecd68f5,
0191edd7-7bce-4e01-f000-000094eb2a1c,"Tone: The client prefers a casual tone, but our message is coming across a bit too formal. We can say, """"Thanks for checking out our products! Yep, we've got you covered! Could you let me know your car's make and model so I can help you find the right fit? You can also check out all our nose bras on sale here: https://covercraft.attn.tv/aKw8Wj14cYK"""""
01934ffd-3d52-4d01-f000-0000a3103b70,Empathy - we should've been empathetic as they're clearly not happy with the shopping experience
019175c1-aba8-4f77-f000-000030ee21b6,"Grammar - We typed hep instead of help and we're missing a punctuation in our last sentence. Please make sure to proofread our responses before sending them.

Empathy - We should add an acknowledgment since this is their first text. We can say: ""Thank you so much for your interest."""
01908b2e-85f6-4023-f000-00006d92b346,
018f595e-d757-4e8d-f000-000088950a27,
01975007-2dfc-4c8c-f000-0000bd490b82,Understandable - That is not a common message used for a US audience. A normal alternative would be “I’ll be here later when you have some time.” That sounded very vague and awkward.
018f2589-964e-4b5a-f000-000057f4cfdf,
0198e1f3-856a-4326-f000-0000b469216e,Understandable Message: We need to make sure to translate the message to the customer's original language as per our workflow
0192c4c5-409d-428a-f000-000091987508,"Typo - We're missing a word from this phrase ""... you should for them!"" Let's be sure to proofread our message before sending. 
Intent - The customer asked if they need an adjustable bed frame or one with a head board. They should always need only one, not two. This would rely on their preference but they should not need both unless they're buying two mattresses. "
0191abbc-668e-4bd2-f000-000095dff35d,"""Issue ID - The customer was looking for the shipping timeline ""when"" - We simply needed to send them the shipping time template here. 

Repetition: We already sent the customer information about tracking in response to the previous message. Reiterating the tracking instructions is redundant. It's also copied over word for word"""
01904d16-ca98-482a-f000-00004f7fd15a,
0198f765-82f0-4df5-f000-00000eb1e0c8,"Tone Preference: The client's preferred tone is polished, not formal. We only use ""pardon me"" in very formal settings. Alternatively, we can say, ""I apologize for the confusion"", etc. "
0192a0e5-bf08-43f8-f000-000014b59770,"Grammar - Here are the grammar mistakes in the original text and they involve errors in word choice, verb tense, and sentence structure:

	1.	“I’m afraid I do not have any visibility to your order here on my end”
	•	Mistake: “Visibility to” should be “visibility into.”
	•	Correction: “I’m afraid I do not have any visibility into your order on my end.”
	2.	“Can you please tell me when did you placed your order”
	•	Mistake: Incorrect word order and tense. “Did you placed” should be “you placed.”
	•	Correction: “Can you please tell me when you placed your order?”
	3.	“And have you already received the tracking info via email?”
	•	Mistake: It’s generally better to avoid starting sentences with “and” in formal writing.
	•	Correction: “Could you please let me know if you’ve already received the tracking info via email?”

Here are the punctuation errors: 

	1.	“But can you please tell me when did you placed your order, and have you already received the tracking info via email?”
	•	Error: The comma before “and have you already” should be a period or a semicolon for correct separation of two independent clauses.
	•	Correction: “But can you please tell me when you placed your order? Have you already received the tracking info via email?”
	2.	“If it’s not showing up in your primary inbox, kindly check your spam and promo folders as sometimes our emails end up there.”
	•	Error: There should be a comma before “as” to properly separate the clauses.
	•	Correction: “If it’s not showing up in your primary inbox, kindly check your spam and promo folders, as sometimes our emails end up there.”"
0190b867-e709-47da-f000-000003f499c1,"Templates: We can add the sz template here.

Tone: ""Feel free to reach out if there's anything else I can help with..."" - We shouldn't insert a closing statement when we're in the middle of assisting the customer."
0192f8d6-332b-4730-f000-0000a03f2bca,"Grammar:
1. ""I would love too!"" should be ""I would love to!""
2. There should be no comma after ""love""."
018f1b4e-743e-4b4c-f000-00002d22066d,
018f83eb-c075-4a9b-f000-0000899721c8,
0196880b-e70e-4c9c-f000-0000bfd41229,"Typo: We said ""Try to use this code"" but we didn't provide any codes. We sent a link. This typo skewed the meaning of the message and is confusing. 
Conversation, Checkout Page, & Website: The customer needs to sign in or sign up for the code to auto-apply. This is stated in our promo text. We should've replicated this on our end so we can provide the necessary steps to make the code work instead of passing the responsibility to the customer by saying ""see if the promotion will apply"". I tested the promo link by creating an account and it works - It doesn't work without signing up."
0191d316-891e-4a77-f000-000096b9590a,
01964ac4-7543-4c12-f000-0000beabbe32,"Typo: ""of the add"" - 'add' changed the meaning of the message"
01910ae7-2b2d-495a-f000-00001551873e,
019312a2-e0c7-4912-f000-0000a1572385,Personalized and Empathy - we didn't to ask them to try the code on our website as they obviously already tried it and didn't work. We also missed showing some empathy for the inconvenience
018f9cfe-709f-4cae-f000-0000885afd6a,"Could've personalized more - e.g. told the cx that they're already getting the best deal, etc."
0190b7b1-ca28-44d7-f000-00009002853b,
019017e4-0ee9-433a-f000-000040b5f884,
01920059-ce12-4a96-f000-000098437cfc,"""Grammar: Markdowned is not a word, it's marked down or markdown.
- Started a new sentence but didn't capitalise the first letter """"there are some markdown...""""

Link filtered - If there were discounted Chino's on the sale link, we should have sent this filtered link to the customer instead: https://bonobos.com/shop/sale/sale-bottoms Makes it easier for the customer. Instead of them having to scroll through all types of items, they can simply get a filtered link with just discounted items they're interested in."""
018f590e-904b-4d96-f000-00007fc92aac,
018edeb2-4c55-4b28-f000-000001a553fb,
0190da8b-2f5c-449a-f000-00000a231488,"Tone - The tone of this brand is polished. ""Super comfy"" comes off as casual. Lets always observe these details and draft our responses accordingly. Please also check on this slack post here: https://attentivemobile.slack.com/archives/C05AMGZQFA8/p1719351785611739"
01922977-ac2b-45c0-f000-00009aabe2aa,
018ebf14-599b-4f6c-f000-00008486a6d4,"I understand, hopefully, we'll be able to update that as soon as possible makes it seem like we owned up to the cx's statement about the website being ""scammy"""
0198a503-609c-4f59-f000-0000333ad74a,Empathy - We should've started with an apology here for the item not being on stock.
018f3b2f-35e1-41eb-f000-000039014a7f,
01908e4e-a0e5-46f4-f000-00005aed6238,"Missed Intent - The cx was saying that they're not receiving responses to email. Sending the email address was irrelevant, because what the cx was saying is that nobody responds to emails. Sending phone support was good, though.

Empathetic - Did not empathize on the non-response in emails piece.

Template - should have used nrc template.

Repetition - Repeated what the previous agent already said. 

"
0191d7aa-cbac-4af2-f000-00005d0ab783,
018feeab-9def-49aa-f000-00008bcb7a69,
0191fbc6-a9d7-4a39-f000-00009973d24e,"ET + Customer Profile + Personalization - We should've asked them first if their account was charged because as per their history, they haven't purchased anything from us. We could've also asked them to check their spam/promo folders to see if they received a confirmation email there.

Personalization - I'm not sure where this ""If the charge on your account is pending, the order has not gone through and should either be refunded within 24-48 hours or processed successfully. If the charge reverts, you can place the order again. If the order processes, you'll get a confirmation email soon."" is coming from when we haven't confirmed if they've been charged yet. It doesn't make sense to say that without asking if they were charged. We can definitely use this but we should've asked first if they were charged or not before adding that (if-so rule).

For next time, we can say: 

Good question! Just to be sure, did you receive a charge on your account for the said item/s? The reason why I'm asking is I don't see any recent purchases from you on my end. Can you check your spam/promo folders too? Sometimes, our confirmation emails go there!

And if you were charged, is it pending or posted? If it's pending, the order has not gone through and should either be refunded within 24-48 hours or processed successfully. If the charge reverts, you can place the order again. If the order processes, you'll get a confirmation email soon.

This way we would've covered all of our bases."
018f7c97-005e-4aad-f000-00007d9234f4,
018f9c8e-8144-44cd-f000-00007496f8e9,"""I'll get back to you as soon as I answer."""
01901948-4593-403b-f000-00005ad3fd86,The brand's tone preference is casual. 
018f0bfe-537f-4d5b-f000-0000864474ae,
018fe3d7-9da5-401f-f000-00008b91e174,Typo- The be matched with the products that best suit her concern.
0193d769-8b55-42bc-f000-0000188c897b,"""Grammar:
- Transitions should clearly connect ideas.""""With this"""" is vague. Remove """"With this"""" and rephrase: """"We offer shipping options...""""
- The sentence """"we will pack the package for delivery"""" unnecessarily shifts to future tense.

Credible Source - This is not information provided by the brand """"If one day shipping isn't offered, this means that we need additional time to ship the package to your location."""""""
0191abef-c393-4b29-f000-00007918f7b6,
018fc18d-2807-4a2f-f000-00008abd5ad8,The tone we used was was not formal as required by the brand.
018fa126-ebe1-40fe-f000-000080cbb626,"Cx was just asking if agent will be at the store. We could've answered with no, and told the cx that there will be other staff members to assist them."
019283d8-d0ae-41df-f000-00009b7abb62,"Correct Grammar: 
1. The first sentence incorrectly combines two independent clauses with just a comma. ""Thanks for the screenshot, may you please submit..."" should be """"Thanks for the screenshot! Could you please submit..."" 
2. ""that is unable to return"" is unclear. It should be ""stating that the return is not possible"" or ""that it's not possible to return""
3. The URL link should be followed by a period or punctuation.
4. ""If you'll get a message"" should be ""If you get a message"""
01932782-064f-4187-f000-0000012a5eb9," Please don't say ""good question"" to the customer only to then follow it up with bad news. Set the right expectations with tone - we should've instead opened with an apology."
0190dbc9-9a11-49e1-f000-000090903adb,"Repetition: Please make sure to do some backreading before sending out templates, as it’s highly likely that a previous agent has already used or sent it to the customer. We repeated the template word for word here. We should have paraphrased it or used some tools to help rephrase the content to avoid redundancy. "
01994302-12ea-41f6-f000-0000d7e17477,"Typo & Template: 
- We mentioned that the code is valid on select styles only, including new arrivals when we meant to say """"exclude"""" 
- We should've also provided them all the info about the code and send the cww template so they know all the exclusions. "
019c3e79-d5a4-4014-f000-0000968035e7,"Discount Upsell & Repetition: The link we sent is the same link in our automated text; we also sent the entire sentence from our automated promo tex word for word - we could've rephrased this. Also, the code we sent will not apply on the link we sent since it's discounted and the code only works on full-priced items. "
018f4a5c-0e88-4ec3-f000-00005f32a033,
01918ce3-8d2f-4f87-f000-0000958a2c11,
0190569f-2185-4a8b-f000-00006cf4a0e5,"Tone: The tone preferred tone is casual. 
Empathetic: The CX mentioned that their mother is in hospice and we didn't acknowledge that at all -- we should have empathized here. "
01912359-90de-4207-f000-00006f8353b5,"Understandable message: ""But I can check this further for you! Can you tell me what product you're looking to purchase?"" -- this bit makes the message quite confusing. Especially since this is something we can't exactly assist the CX with and we'd be redirecting them to CS anyway."
018f58fc-aed0-4cd3-f000-00008843c2af,
